session_id,event_type,latency_ms
2,PARAM_CHANGED,5.0286
2,PARAM_CHANGED,4.0455
2,PARAM_CHANGED,5.0159
2,PARAM_CHANGED,4.2555
2,PARAM_CHANGED,3.1649
2,PARAM_CHANGED,5.2003
2,PARAM_CHANGED,5.7486
2,PARAM_CHANGED,5.0355
2,PARAM_CHANGED,3.377
2,PARAM_CHANGED,4.3682
2,PARAM_CHANGED,4.9227
2,PARAM_CHANGED,4.9167
2,PARAM_CHANGED,5.1985
2,PARAM_CHANGED,6.18
2,PARAM_CHANGED,5.2825
2,PARAM_CHANGED,3.6183
2,PARAM_CHANGED,1.9688
2,PARAM_CHANGED,1.9599
2,PARAM_CHANGED,1.8873
2,PARAM_CHANGED,1.8788
2,PARAM_CHANGED,2.1365
2,PARAM_CHANGED,2.5427
2,PARAM_CHANGED,2.134
2,PARAM_CHANGED,2.4617
2,PARAM_CHANGED,2.4434
2,PARAM_CHANGED,3.3581
2,PARAM_CHANGED,2.3921
2,PARAM_CHANGED,3.0333
2,PARAM_CHANGED,3.0641
2,PARAM_CHANGED,4.6923
2,PARAM_CHANGED,3.7807
2,PARAM_CHANGED,4.5226
2,PARAM_CHANGED,5.5815
2,PARAM_CHANGED,3.4055
2,PARAM_CHANGED,4.7069
2,PARAM_CHANGED,5.5105
2,PARAM_CHANGED,4.2839
2,PARAM_CHANGED,5.1842
2,PARAM_CHANGED,6.2367
2,PARAM_CHANGED,4.8796
2,PARAM_CHANGED,5.4201
2,PARAM_CHANGED,4.9595
2,PARAM_CHANGED,5.6289
2,PARAM_CHANGED,4.1493
2,PARAM_CHANGED,3.1547
2,PARAM_CHANGED,2.8936
2,PARAM_CHANGED,2.1243
2,PARAM_CHANGED,2.0266
2,PARAM_CHANGED,1.9769
2,PARAM_CHANGED,2.0704
2,PARAM_CHANGED,2.2524
2,PARAM_CHANGED,2.2524
2,PARAM_CHANGED,2.4897
2,PARAM_CHANGED,3.3758
2,PARAM_CHANGED,2.6381
2,PARAM_CHANGED,2.6152
2,PARAM_CHANGED,4.338
2,PARAM_CHANGED,3.0977
2,PARAM_CHANGED,4.3711
2,PARAM_CHANGED,6.0879
2,PARAM_CHANGED,4.2829
2,PARAM_CHANGED,4.0112
2,PARAM_CHANGED,4.4457
2,PARAM_CHANGED,5.4708
2,PARAM_CHANGED,6.7389
2,PARAM_CHANGED,6.3046
2,PARAM_CHANGED,5.2678
2,NODE_EXECUTED,3.5635
2,NODE_EXECUTED,2.3271
2,NODE_EXECUTED,2.1261
2,NODE_EXECUTED,1.623
2,NODE_EXECUTED,2.1788
2,NODE_EXECUTED,4.1085
2,NODE_EXECUTED,3.5615
2,NODE_EXECUTED,4.652
2,NODE_EXECUTED,3.577
2,NODE_EXECUTED,3.92
2,NODE_EXECUTED,3.9877
2,NODE_EXECUTED,4.0872
2,NODE_EXECUTED,6.0235
2,NODE_EXECUTED,14.9173
2,NODE_EXECUTED,8.0462
2,NODE_EXECUTED,7.4591
2,NODE_EXECUTED,7.0578
2,NODE_EXECUTED,6.0492
2,NODE_EXECUTED,6.2695
2,NODE_EXECUTED,9.1133
2,NODE_EXECUTED,6.3384
2,NODE_EXECUTED,5.9517
2,NODE_EXECUTED,5.3908
2,NODE_EXECUTED,4.4817
2,NODE_EXECUTED,5.5491
2,NODE_EXECUTED,4.5568
2,NODE_EXECUTED,4.7932
2,NODE_EXECUTED,5.2593
2,NODE_EXECUTED,5.9294
2,NODE_EXECUTED,4.6291
2,NODE_EXECUTED,5.4899
2,NODE_EXECUTED,5.3938
2,NODE_EXECUTED,4.4528
2,NODE_EXECUTED,3.7148
2,NODE_EXECUTED,4.1286
2,NODE_EXECUTED,3.5163
2,NODE_EXECUTED,4.5568
2,NODE_EXECUTED,3.5323
2,NODE_EXECUTED,4.1668
2,NODE_EXECUTED,5.4193
2,NODE_EXECUTED,2.8245
2,NODE_EXECUTED,3.481
2,NODE_EXECUTED,2.0574
2,NODE_EXECUTED,1.9119
2,NODE_EXECUTED,1.71
2,NODE_EXECUTED,2.2715
2,NODE_EXECUTED,2.6066
2,NODE_EXECUTED,2.4904
2,NODE_EXECUTED,2.4184
2,NODE_EXECUTED,2.5534
2,NODE_EXECUTED,3.259
2,NODE_EXECUTED,3.6293
2,NODE_EXECUTED,3.0686
2,NODE_EXECUTED,5.0732
2,NODE_EXECUTED,4.1389
2,NODE_EXECUTED,3.1668
2,NODE_EXECUTED,5.1055
2,NODE_EXECUTED,4.167
2,NODE_EXECUTED,5.1356
2,NODE_EXECUTED,3.3625
2,NODE_EXECUTED,4.2693
2,NODE_EXECUTED,5.8503
2,NODE_EXECUTED,4.5592
2,NODE_EXECUTED,5.3905
2,NODE_EXECUTED,5.2417
2,NODE_EXECUTED,4.838
2,NODE_EXECUTED,4.529
2,NODE_EXECUTED,4.3225
2,NODE_EXECUTED,5.7732
2,NODE_EXECUTED,4.0944
2,NODE_EXECUTED,6.359
2,NODE_EXECUTED,4.414
2,NODE_EXECUTED,3.8387
2,NODE_EXECUTED,6.8115
2,NODE_EXECUTED,4.425
2,NODE_EXECUTED,4.2549
2,NODE_EXECUTED,4.7082
2,NODE_EXECUTED,4.037
2,NODE_EXECUTED,4.858
2,NODE_EXECUTED,3.1273
2,NODE_EXECUTED,6.2275
2,NODE_EXECUTED,6.1045
2,NODE_EXECUTED,3.8442
2,NODE_EXECUTED,4.2975
2,NODE_EXECUTED,4.8215
2,NODE_EXECUTED,3.2279
2,NODE_EXECUTED,4.5641
2,NODE_EXECUTED,5.3186
2,NODE_EXECUTED,3.8635
2,NODE_EXECUTED,5.4179
2,NODE_EXECUTED,5.4209
2,NODE_EXECUTED,4.4736
2,NODE_EXECUTED,4.5166
2,NODE_EXECUTED,3.6606
2,NODE_EXECUTED,4.9302
2,NODE_EXECUTED,4.9618
2,NODE_EXECUTED,4.1411
2,NODE_EXECUTED,4.6729
2,NODE_EXECUTED,6.0305
2,NODE_EXECUTED,3.8298
2,EXECUTION_COMPLETED,3.7598
2,EXECUTION_COMPLETED,3.9456
2,EXECUTION_COMPLETED,3.2896
2,EXECUTION_COMPLETED,3.6797
2,EXECUTION_COMPLETED,3.0856
2,EXECUTION_COMPLETED,2.8248
2,EXECUTION_COMPLETED,2.0291
2,EXECUTION_COMPLETED,1.9427
2,EXECUTION_COMPLETED,1.8782
2,EXECUTION_COMPLETED,1.7321
2,EXECUTION_COMPLETED,2.0256
2,EXECUTION_COMPLETED,2.2769
2,EXECUTION_COMPLETED,2.3778
2,EXECUTION_COMPLETED,2.4746
2,EXECUTION_COMPLETED,3.2421
2,EXECUTION_COMPLETED,2.74
2,EXECUTION_COMPLETED,3.1888
2,EXECUTION_COMPLETED,3.1087
2,EXECUTION_COMPLETED,5.0863
2,EXECUTION_COMPLETED,4.0126
2,EXECUTION_COMPLETED,3.3643
2,EXECUTION_COMPLETED,4.0205
2,EXECUTION_COMPLETED,4.6625
2,EXECUTION_COMPLETED,5.4716
2,EXECUTION_COMPLETED,4.5464
2,EXECUTION_COMPLETED,5.1529
2,EXECUTION_COMPLETED,5.5257
2,EXECUTION_COMPLETED,5.1354
2,EXECUTION_COMPLETED,4.1332
2,EXECUTION_COMPLETED,3.6689
2,EXECUTION_COMPLETED,4.2811
2,EXECUTION_COMPLETED,4.123
2,EXECUTION_COMPLETED,3.7415
2,EXECUTION_COMPLETED,4.4208
2,EXECUTION_COMPLETED,5.5985
2,EXECUTION_COMPLETED,4.6358
2,EXECUTION_COMPLETED,3.5127
2,EXECUTION_COMPLETED,4.8071
2,EXECUTION_COMPLETED,5.5399
2,EXECUTION_COMPLETED,4.7143
2,EXECUTION_COMPLETED,4.3166
2,EXECUTION_COMPLETED,4.1125
2,EXECUTION_COMPLETED,4.1449
2,EXECUTION_COMPLETED,3.6878
2,EXECUTION_COMPLETED,4.6578
2,EXECUTION_COMPLETED,3.8224
2,EXECUTION_COMPLETED,6.283
2,EXECUTION_COMPLETED,5.0552
2,EXECUTION_COMPLETED,3.5423
2,EXECUTION_COMPLETED,4.329
2,EXECUTION_COMPLETED,5.3589
2,EXECUTION_COMPLETED,3.1121
2,EXECUTION_COMPLETED,5.2709
2,EXECUTION_COMPLETED,4.2623
2,EXECUTION_COMPLETED,4.7104
2,EXECUTION_COMPLETED,5.1657
2,EXECUTION_COMPLETED,5.0875
2,EXECUTION_COMPLETED,5.447
2,EXECUTION_COMPLETED,5.613
2,EXECUTION_COMPLETED,4.2232
2,EXECUTION_COMPLETED,4.946
2,EXECUTION_COMPLETED,4.8661
2,EXECUTION_COMPLETED,3.5301
2,EXECUTION_COMPLETED,4.3892
2,EXECUTION_COMPLETED,3.3385
2,EXECUTION_COMPLETED,4.6027
2,EXECUTION_COMPLETED,5.5635
2,EXECUTION_COMPLETED,6.1573
2,EXECUTION_COMPLETED,4.1605
2,EXECUTION_COMPLETED,4.2507
2,EXECUTION_COMPLETED,3.0797
2,EXECUTION_COMPLETED,1.868
2,EXECUTION_COMPLETED,1.6435
2,EXECUTION_COMPLETED,1.9108
2,EXECUTION_COMPLETED,1.8677
2,EXECUTION_COMPLETED,1.7799
2,EXECUTION_COMPLETED,2.0735
2,EXECUTION_COMPLETED,2.6855
2,EXECUTION_COMPLETED,2.9176
2,EXECUTION_COMPLETED,2.8742
2,EXECUTION_COMPLETED,2.6744
2,EXECUTION_COMPLETED,2.4646
2,EXECUTION_COMPLETED,2.4462
2,EXECUTION_COMPLETED,3.7654
2,EXECUTION_COMPLETED,3.4757
2,EXECUTION_COMPLETED,3.9765
2,EXECUTION_COMPLETED,5.541
2,EXECUTION_COMPLETED,3.7853
2,EXECUTION_COMPLETED,5.0859
2,EXECUTION_COMPLETED,6.9082
2,EXECUTION_COMPLETED,4.4677
2,EXECUTION_COMPLETED,4.5943
2,EXECUTION_COMPLETED,6.5023
2,EXECUTION_COMPLETED,5.0727
2,EXECUTION_COMPLETED,4.3552
2,EXECUTION_COMPLETED,3.7281
